Solucion,Tiempo,Operaciones
f.-CribaEratostenes,00:00:00.0000,1001
e.-Recursion,00:00:00.0510,3049153
d.-RaizCuadrada,00:00:00.4737,56810754
c.-PrimerDivisor,00:09:25.7791,151398001012
a.-FuerzaBruta1,03:36:00.8617,3224447195970
b.-FuerzaBruta2,03:51:27.8894 ,3224447195970
